T             MC_cycles-ac                  N_spins                    <M>/N                  <M^2>/N                    <M^4>                    Gamma
2.2                    50000                      256    -2.26562500000001e-06        0.651739313842774        0.459528949887864         1.08184499104723
2.20050505050505                    50000                      256     0.000386389739990234        0.651407079314139        0.459034470243507         1.08178349519158
2.2010101010101                    50000                      256    -9.18021915078164e-05        0.650387705516173        0.457925754516717         1.08255612997295
2.20151515151515                    50000                      256     0.000105042264768942        0.650330322124795        0.457958635934651          1.0828249288616
2.2020202020202                    50000                      256     0.000585775407134675        0.648226746353641        0.455576744468183         1.08419563387459
2.20252525252525                    50000                      256      3.0681943518412e-05        0.647514948221964        0.454617159435754         1.08429193250483
2.2030303030303                    50000                      256     8.63088601341869e-05        0.647915718620221        0.455175750780863         1.08428159225227
2.20353535353535                    50000                      256      0.00021223683939849        0.646006221917295        0.452962955552171         1.08539866743014
2.2040404040404                    50000                      256     -0.00030166709498461        0.647307051401096        0.454271350948792         1.08416322656046
2.20454545454545                    50000                      256    -0.000168024088708978         0.64516793863991         0.45203275971241          1.0859863231505
2.20505050505051                    50000                      256     0.000356574990590348        0.643825612744047        0.450563998551664         1.08697608128387
2.20555555555556                    50000                      256     0.000562467412105699        0.643726045754414        0.450419354292922         1.08696329966714
2.20606060606061                    50000                      256    -0.000498999036167146        0.642449055490182         0.44918432394987         1.08829642242713
2.20656565656566                    50000                      256       0.0010504144535015        0.642201198683251        0.448754001565432          1.0880932358989
2.20707070707071                    50000                      256     0.000697300943145899        0.642268688783567        0.448786534360508         1.08794343817117
2.20757575757576                    50000                      256     0.000633288008180916        0.640625173261549        0.446795567852091         1.08868153242676
2.20808080808081                    50000                      256    -0.000655393246871804        0.639957773048665        0.445991066338489         1.08898907421425
2.20858585858586                    50000                      256    -0.000154099762987059        0.639013413021504        0.445007260518921         1.08980086532208
2.20909090909091                    50000                      256     0.000443111679780083        0.638972162190877        0.444919188568828          1.0897258690994
2.20959595959596                    50000                      256    -0.000391983159500086        0.638268003802738        0.444322440505105         1.09066681667002
2.21010101010101                    50000                      256     -0.00054465311842168        0.638227921429449        0.444166850050051         1.09042184255306
2.21060606060606                    50000                      256    -0.000142228380124384        0.635694771832156        0.441463146349378         1.09243894684983
2.21111111111111                    50000                      256      0.00142874131703901        0.637460665183673        0.443074651875813         1.09036052922658
2.21161616161616                    50000                      256     0.000189495602076968        0.635663283234658         0.44128025590602         1.09209455780539
2.21212121212121                    50000                      256     0.000868980271719562        0.635291485081914        0.440802414849781          1.0921892462674
2.21262626262626                    50000                      256      0.00066232382041864        0.634231432634712         0.43967605958185         1.09304311999477
2.21313131313131                    50000                      256    -0.000712991279757649        0.633546928453724        0.438806408961266         1.09323967042879
2.21363636363636                    50000                      256    -0.000766309762218655         0.63175432047566        0.437184924628029         1.09538991074779
2.21414141414141                    50000                      256     5.34350352491334e-05        0.631589933340943         0.43688185224306         1.09520043119546
2.21464646464646                    50000                      256    -0.000696088501939356        0.630350011459249        0.435311926521154         1.09556219088278
2.21515151515152                    50000                      256     -0.00016056878457107        0.630042274459856        0.435044173402379         1.09595816158789
2.21565656565657                    50000                      256    -0.000409031472181473        0.630427719424857        0.435560301938009         1.09591706406168
2.21616161616162                    50000                      256     8.57777220811791e-05        0.628774130657531        0.433763902873778         1.09714512323501
2.21666666666667                    50000                      256      0.00103164288192269        0.627282801352128        0.432110271070455         1.09816558331305
2.21717171717172                    50000                      256    -0.000511518889499249        0.627062528812868        0.431846828900943         1.09826725636826
2.21767676767677                    50000                      256     1.36126879337894e-05        0.626476553012892        0.431351931682121         1.09906177734298
2.21818181818182                    50000                      256      0.00131916156745622        0.626050681025014        0.430675407774061         1.09883147013417
2.21868686868687                    50000                      256      0.00124696842248729        0.625302863846864        0.429985882397509         1.09969781283478
2.21919191919192                    50000                      256     2.90897204003407e-06        0.623397976231177        0.427622965967064         1.10034847348527
2.21969696969697                    50000                      256     0.000262173011317203        0.623961508236658        0.428594273559446         1.10085663875557
2.22020202020202                    50000                      256    -9.43507136674542e-05        0.623655623598493        0.427955246965828         1.10029381028789
2.22070707070707                    50000                      256     0.000218791269252474        0.621880149743078        0.426009280781928          1.1015536948978
2.22121212121212                    50000                      256     0.000566616715339552        0.622183114929428         0.42623098363703         1.10105388741283
2.22171717171717                    50000                      256      0.00108787758465443        0.620828376622185        0.424866478884399         1.10232421785079
2.22222222222222                    50000                      256    -0.000594731297818495        0.619648202435877        0.423534355739129         1.10305776531301
2.22272727272727                    50000                      256     -0.00034165419191321        0.619531063794254        0.423541473531876         1.10349347358262
2.22323232323232                    50000                      256     0.000560366541331284        0.617301768327429        0.421149509004992         1.10520096794426
2.22373737373737                    50000                      256    -0.000669406106819793        0.617714164583997         0.42163792708552         1.10500577900476
2.22424242424242                    50000                      256     0.000171801013239524        0.616265457693733        0.420081080284161         1.10610784001558
2.22474747474747                    50000                      256    -4.35735152292033e-05         0.61533627909158          0.4189519909012         1.10646891261525
2.22525252525253                    50000                      256    -0.000207673270904386        0.615412952600524        0.419047879692355         1.10644640573176
2.22575757575758                    50000                      256    -0.000669596747371447        0.613853674030995        0.417375739762057          1.1076370716331
2.22626262626263                    50000                      256    -0.000296792811229442        0.614467162740592        0.418035177545967         1.10717296080346
2.22676767676768                    50000                      256     7.92903153081135e-05        0.612399427836857        0.415878845378178         1.10891249493784
2.22727272727273                    50000                      256     0.000251312222779417        0.611629773070416        0.414773332290066         1.10874989035916
2.22777777777778                    50000                      256    -0.000709995581162977        0.611379860030782        0.414680552193762         1.10940830285338
