T             MC_cycles-ac                  N_spins                    <M>/N                  <M^2>/N                    <M^4>                    Gamma
5.005                    10000                      256          -0.005316796875       0.0122486810302734     0.000450781849734485         3.00460766465905
5.13644736842105                    10000                      256      -0.0089807487487793      0.00926400733746495     0.000254206649634307         2.96202777151788
5.2678947368421                    10000                      256         0.01037258564502      0.00895551950684714     0.000232800418144423         2.90270023198611
5.39934210526316                    10000                      256      0.00552225491626759       0.0100287203300774     0.000295014253897425         2.93326945032148
5.53078947368421                    10000                      256      0.00330114150582667       0.0101626843699956     0.000319676713540568         3.09523855634267
5.66223684210526                    10000                      256     -0.00207925736659929      0.00923188501386165     0.000279482133656733         3.27924055999831
5.79368421052632                    10000                      256     -0.00101979658490883      0.00938713627912142     0.000257924870296369          2.9270286618824
5.92513157894737                    10000                      256        0.010642336016959       0.0105907705492192     0.000330371533004984         2.94542182424206
6.05657894736842                    10000                      256       0.0130609540375066      0.00837930265925682     0.000198314622462037         2.82448311469578
6.18802631578947                    10000                      256      -0.0128406793148291      0.00715031429947305     0.000147203280557839         2.87916944392086
6.31947368421053                    10000                      256      -0.0511501721403574       0.0118223973851231     0.000397856653261632         2.84652838421674
6.45092105263158                    10000                      256      -0.0298136524109923      0.00844857822021085     0.000194215420829082         2.72092425209479
6.58236842105263                    10000                      256       -0.031676802207973      0.00740643867275729     0.000160550483916751         2.92679804780956
6.71381578947368                    10000                      256      0.00741559499913751      0.00608611969976604     0.000108606992069645         2.93208669006612
6.84526315789474                    10000                      256      -0.0333285876582035      0.00729168836383011     0.000146552782173003         2.75637225028718
6.97671052631579                    10000                      256        0.026334402895446       0.0077255378596319     0.000200321385975614          3.3563702734275
7.10815789473684                    10000                      256       -0.046031666248869       0.0115133937462431     0.000408044760716155         3.07823017562485
7.23960526315789                    10000                      256      0.00828451888037154      0.00693891771452903     0.000134779773289525         2.79924716267013
7.37105263157895                    10000                      256       0.0342215955151876      0.00628771505572161     0.000120357771928766         3.04430692006763
7.5025                    10000                      256       0.0323703990607481      0.00787692731890115      0.00017822246603948         2.87242549132752
